Author,Datetime,Title,Content
Kim1971,2018-12-04T23:22+00:00,Hrt patches,So I'm biting the bullet and going to the doctors and asking for the hrtpatch I've been talking to friends about it and they feel fab so feeling total rubbish myself I'm going to do it had enough of feeling crap hot flushes have been so bad in the last 2 weeks mood swings mad!!!Why oh why do us lady's have to go through this x
Guest,2018-12-04T20:02+00:00,"Headaches, depression and HRT",every day I have a headache. EVERYDAY! brain scans clear. blood tests all normal except hormones that have plummeted into menopause levels despite still getting the occasional period. I have hot flashes sometimes and low levels of depression. but mostly its the HEADACHE. Has anyone had success relieving headaches and depression with HRT? I hear HRT can make headaches worse?
Guest,2018-12-04T19:39+00:00,"Headaches, depression and HRT",every day I have a headache. EVERYDAY! brain scans clear. blood tests all normal except hormones that have plummeted into menopause levels despite still getting the occasional period. I have hot flashes sometimes and low levels of depression. but mostly its the HEADACHE. Has anyone had success relieving headaches and depression with HRT? I hear HRT can make headaches worse?
sharcerv52408,2018-12-05T11:58+00:00,Dull pain between shoulder blades,"Hello ladies, Have any of you experienced this burning and sometimes dull sensation between your shoulder blades? It came on suddenly which of course triggered my anxiety. I was on my way to pick up my kids from school when it hit me. Menopause doesn't play fair. Thankfully I was able to get home but I was miserable. It seems to get aggregated when I've not eaten in a while and is somewhat relieved when I eat. I took a prilosec and an Alleve for the pain which helped a lot. Have any of you experienced this?"
Bassilli,2018-12-04T02:10+00:00,Blood transfusion,Has anyone ever been given blood because of anemia from bleeding? How long before you felt better.
llotenz55,2018-12-04T14:23+00:00,Feeling house bond,"HI ladies new to discussion and so glad i found this sight. I'm 49 years old and periods have been a little erratic all year. had some ovarian cysts so doc says this could make me irregular but lately walking up with severe heart palps and now turned into full blown panic attacks. i can handle the night sweats and chills, but the aniexty is the worst. heading to OB today to ask for hormone check . Any help coping with panic and aniexty would be appreciated."
AG13,2018-11-24T11:26+00:00,Stomach issues,HI ALL i thought i was doing okay but all of a sudden from nowhere i seem to have avid reflux issues! can't eat properly and yet am still putting on weight! its really bad in the evenings . medication makes it all worse . struggling . doctors cant find anything medical. at wits end!
caroline62395,2018-11-22T13:24+00:00,Lost touch with reality,"I have so many different aches, pains, sensations I don't know whats normal or whats not anymore! I am so fed up with questioning everything, my life has been taken over with my health worries. I never used to be like this, I look at other people and wonder what it feels like to get up each morning and just live your life without worry. I have seen my gp but they just offer anti depressants which I dont want to take. Does anyone else feel like this? My world seems to be getting smaller and smaller, I hate going to social events now and I just want to stay in my house. I keep praying for a miracle but it never comes. Can any of you lovely ladies offer any advice or just tell me you know how I feel xx"
ramisa91047,2018-12-03T21:20+00:00,Delayed period,"Hi, My usual period starts on around 25th of each month. Last month I had an emergency contraceptive pill on 5 th which just 5 days later of my last period. Then I had an early period on 10th ended on 15th. So my regular period didn't happen on time. When should I expect my next period? Is it Ok?"
Takingtime,2018-12-03T00:07+00:00,Dull pain in appendix area,"Hi ladies,Has anyone experienced pain in the appendix area, but no appenicitis. I have been to doctors where appendix has been ruled out. I have had this going on three years on and off, seems more present at ovulation, right before period during and right after.When it aches it does seem to produce bloating and gassiness."
paulahove24,2018-12-03T07:35+00:00,Feeling horrible every day!!,"morning ladies Does anyone wake up in the morning feeling well? Just under 2 years since my last period and i still feel horrid most days!! Aching joints, exhausted, jittery inside, itchy, palpitations and so the list goes on. Should i still be feeling like this? I crave for a day when i feel well!!!!"
